generateTime,totalInfo,timeZone,type
20210714 20:21:57,"{""allSleepTime"":308,""awakeTime"":0,""daySleepTime"":50,""deepSleepPart"":52,""deepSleepTime"":88,""dreamTime"":68,""fallAsleepTime"":1626268020000,""goBedTime"":1626262093000,""lightSleepTime"":152,""sleepEfficiency"":5,""sleepLatency"":6202000,""sleepScore"":71,""snoreFreq"":1,""validData"":91.48,""wakeupCnt"":0,""wakeupTime"":1626291180000}","""	-0500""",9
20210715 07:28:06,"{""avgRestingHeartRate"":65,""lastHeartRate"":65,""lastRestHeartRate"":0,""maxHeartRate"":120,""minHeartRate"":44}","""	-0500""",7
20210715 10:58:52,"{""avgRestingHeartRate"":61,""lastHeartRate"":61,""lastRestHeartRate"":0,""maxHeartRate"":110,""minHeartRate"":45}","""	-0500""",7
20210715 19:46:45,"{""allSleepTime"":599,""awakeTime"":12,""daySleepTime"":0,""deepSleepPart"":53,""deepSleepTime"":185,""dreamTime"":94,""fallAsleepTime"":1626334500000,""goBedTime"":1626334081000,""lightSleepTime"":320,""sleepEfficiency"":44,""sleepLatency"":727000,""sleepScore"":74,""snoreFreq"":1,""validData"":89.83,""wakeupCnt"":1,""wakeupTime"":1626371160000}","""	-0500""",9
20210717 12:17:44,"{""allSleepTime"":406,""awakeTime"":8,""daySleepTime"":0,""deepSleepPart"":65,""deepSleepTime"":152,""dreamTime"":44,""fallAsleepTime"":1626421020000,""goBedTime"":1626420320000,""lightSleepTime"":210,""sleepEfficiency"":13,""sleepLatency"":2422000,""sleepScore"":81,""snoreFreq"":1,""validData"":87.44,""wakeupCnt"":1,""wakeupTime"":1626445860000}","""	-0500""",9
20210717 17:09:30,"{""avgRestingHeartRate"":0,""lastHeartRate"":87,""lastRestHeartRate"":0,""maxHeartRate"":122,""minHeartRate"":44}","""	-0500""",7
20210717 22:19:36,"{""allSleepTime"":296,""awakeTime"":0,""daySleepTime"":59,""deepSleepPart"":59,""deepSleepTime"":113,""dreamTime"":68,""fallAsleepTime"":1626505140000,""goBedTime"":1626503653000,""lightSleepTime"":115,""sleepEfficiency"":13,""sleepLatency"":1838000,""sleepScore"":73,""snoreFreq"":1,""validData"":94.33,""wakeupCnt"":0,""wakeupTime"":1626522900000}","""	-0500""",9
20210719 19:15:39,"{""avgRestingHeartRate"":0,""lastHeartRate"":93,""lastRestHeartRate"":0,""maxHeartRate"":118,""minHeartRate"":50}","""	-0500""",7
20210719 19:15:41,"{""avgRestingHeartRate"":68,""lastHeartRate"":68,""lastRestHeartRate"":0,""maxHeartRate"":134,""minHeartRate"":50}","""	-0500""",7
20210719 21:29:55,"{""allSleepTime"":266,""awakeTime"":0,""daySleepTime"":0,""deepSleepPart"":63,""deepSleepTime"":99,""dreamTime"":56,""fallAsleepTime"":1626599820000,""goBedTime"":1626599637000,""lightSleepTime"":111,""sleepEfficiency"":52,""sleepLatency"":215000,""sleepScore"":66,""snoreFreq"":1,""validData"":98.17,""wakeupCnt"":0,""wakeupTime"":1626614040000}","""	-0500""",9
20210719 21:29:55,"{""allSleepTime"":147,""awakeTime"":10,""daySleepTime"":101,""deepSleepPart"":69,""deepSleepTime"":72,""dreamTime"":2,""fallAsleepTime"":1626656400000,""goBedTime"":1626650285000,""lightSleepTime"":73,""sleepEfficiency"":3,""sleepLatency"":4822000,""sleepScore"":66,""snoreFreq"":1,""validData"":89.86,""wakeupCnt"":1,""wakeupTime"":1626665820000}","""	-0500""",9
20210720 04:27:42,"{""avgRestingHeartRate"":60,""lastHeartRate"":63,""lastRestHeartRate"":0,""maxHeartRate"":132,""minHeartRate"":52}","""	-0500""",7
20210720 20:30:06,"{""allSleepTime"":557,""awakeTime"":1,""daySleepTime"":17,""deepSleepPart"":64,""deepSleepTime"":182,""dreamTime"":79,""fallAsleepTime"":1626772260000,""goBedTime"":1626767373000,""lightSleepTime"":296,""sleepEfficiency"":10,""sleepLatency"":4907000,""sleepScore"":76,""snoreFreq"":9,""validData"":87.06,""wakeupCnt"":1,""wakeupTime"":1626805740000}","""	-0500""",9
20210722 02:45:23,"{""allSleepTime"":503,""awakeTime"":13,""daySleepTime"":84,""deepSleepPart"":63,""deepSleepTime"":156,""dreamTime"":92,""fallAsleepTime"":1626856080000,""goBedTime"":1626855980000,""lightSleepTime"":255,""sleepEfficiency"":56,""sleepLatency"":383000,""sleepScore"":87,""snoreFreq"":3,""validData"":84.89,""wakeupCnt"":1,""wakeupTime"":1626887040000}","""	-0500""",9
20210722 21:44:18,"{""allSleepTime"":556,""awakeTime"":4,""daySleepTime"":121,""deepSleepPart"":49,""deepSleepTime"":164,""dreamTime"":73,""fallAsleepTime"":1626942840000,""goBedTime"":1626940152000,""lightSleepTime"":319,""sleepEfficiency"":14,""sleepLatency"":3028000,""sleepScore"":77,""snoreFreq"":1,""validData"":86.46,""wakeupCnt"":2,""wakeupTime"":1626977460000}","""	-0500""",9
20210726 00:59:33,"{""allSleepTime"":603,""awakeTime"":6,""daySleepTime"":88,""deepSleepPart"":65,""deepSleepTime"":184,""dreamTime"":61,""fallAsleepTime"":1627114560000,""goBedTime"":1627110723000,""lightSleepTime"":358,""sleepEfficiency"":12,""sleepLatency"":4161000,""sleepScore"":75,""snoreFreq"":1,""validData"":89.67,""wakeupCnt"":1,""wakeupTime"":1627151100000}","""	-0500""",9
